"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 09 00:47:57 GMT 2023","Wed Aug 09 00:47:57 GMT 2023","165","tests","test_main_page","TestMainPage","","","TC 006 - Проверка функциональности ссылки 'Обратный звонок'",""
"passed","Wed Aug 09 00:53:38 GMT 2023","Wed Aug 09 00:53:40 GMT 2023","2707","tests.catalog","test_catalog_page","TestCatalogPage","","","002_positive_last_link_of_catalog_smoke",""
"passed","Wed Aug 09 00:53:00 GMT 2023","Wed Aug 09 00:53:07 GMT 2023","7426","tests","test_main_page","TestMainPage","","","TC 018 - Проверка функциональности ссылки 'Акции'",""
"passed","Wed Aug 09 00:49:56 GMT 2023","Wed Aug 09 00:49:58 GMT 2023","1818","tests","test_main_page","TestMainPage","","","TC 011 - Проверка функциональности ссылки 'Подъем на этаж'",""
"passed","Wed Aug 09 00:49:35 GMT 2023","Wed Aug 09 00:49:35 GMT 2023","118","tests","test_main_page","TestMainPage","","","TC 010 - Проверка функциональности ссылки 'email'",""
"passed","Wed Aug 09 00:51:23 GMT 2023","Wed Aug 09 00:51:24 GMT 2023","147","tests","test_main_page","TestMainPage","","","TC 014 - Проверка функциональности ссылки 'Оплатить заказ'",""
"passed","Wed Aug 09 00:47:18 GMT 2023","Wed Aug 09 00:47:27 GMT 2023","9020","tests","test_main_page","TestMainPage","","","TC 005 - Функционал блока 'Советы от профессионалов ремонта'",""
"skipped","Wed Aug 09 00:57:13 GMT 2023","Wed Aug 09 00:57:15 GMT 2023","2909","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Авторизация с помощью аккаунта mail.ru",""
"passed","Wed Aug 09 00:45:31 GMT 2023","Wed Aug 09 00:45:41 GMT 2023","10139","tests","test_main_page","TestMainPage","","","TC 002 - проверка title на главной странице",""
"passed","Wed Aug 09 00:48:07 GMT 2023","Wed Aug 09 00:48:07 GMT 2023","150","tests","test_main_page","TestMainPage","","","TC 006 - Проверка функциональности ссылки 'Обратный звонок'",""
"skipped","Wed Aug 09 00:55:02 GMT 2023","Wed Aug 09 00:55:15 GMT 2023","13594","tests.catalog","test_catalog_page","TestCatalogPage","","","004_positive_alfabet_plaster_mixtures_smoke",""
"passed","Wed Aug 09 00:51:13 GMT 2023","Wed Aug 09 00:51:13 GMT 2023","150","tests","test_main_page","TestMainPage","","","TC 014 - Проверка функциональности ссылки 'Оплатить заказ'",""
"passed","Wed Aug 09 00:54:41 GMT 2023","Wed Aug 09 00:54:41 GMT 2023","247","tests.catalog","test_catalog_page","TestCatalogPage","","","003_positive_pic_stroymateriali_smoke(catalog)",""
"passed","Wed Aug 09 00:55:49 GMT 2023","Wed Aug 09 00:56:08 GMT 2023","18599","tests.catalog","test_catalog_page","TestCatalogPage","","","008_positive_cost_plaster_mixtures_smoke",""
"skipped","Wed Aug 09 00:57:41 GMT 2023","Wed Aug 09 00:57:45 GMT 2023","3625","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Авторизация с помощью аккаунта vk.ru",""
"passed","Wed Aug 09 00:47:37 GMT 2023","Wed Aug 09 00:47:47 GMT 2023","9599","tests","test_main_page","TestMainPage","","","TC 005 - Функционал блока 'Советы от профессионалов ремонта'",""
"passed","Wed Aug 09 00:55:26 GMT 2023","Wed Aug 09 00:55:31 GMT 2023","5859","tests.catalog","test_catalog_page","TestCatalogPage","","","007_positive_catalog_first_link_smoke",""
"skipped","Wed Aug 09 00:52:18 GMT 2023","Wed Aug 09 00:52:20 GMT 2023","2137","tests","test_main_page","TestMainPage","","","TC 017 - Проверка функциональности ссылки 'Отзывы'",""
"passed","Wed Aug 09 00:56:08 GMT 2023","Wed Aug 09 00:56:27 GMT 2023","18535","tests.catalog","test_catalog_page","TestCatalogPage","","","008_positive_cost_plaster_mixtures_smoke",""
"skipped","Wed Aug 09 00:57:26 GMT 2023","Wed Aug 09 00:57:30 GMT 2023","4407","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Авторизация с помощью аккаунта OK.ru",""
"passed","Wed Aug 09 00:45:42 GMT 2023","Wed Aug 09 00:45:51 GMT 2023","9258","tests","test_main_page","TestMainPage","","","TC 002 - проверка title на главной странице",""
"passed","Wed Aug 09 00:48:29 GMT 2023","Wed Aug 09 00:48:32 GMT 2023","2408","tests","test_main_page","TestMainPage","","","TC 007 - Проверка функциональности ссылки 'Строительные советы'",""
"skipped","Wed Aug 09 00:58:11 GMT 2023","Wed Aug 09 00:58:11 GMT 2023","16","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Авторизация с помощью формы авторизации",""
"passed","Wed Aug 09 00:49:13 GMT 2023","Wed Aug 09 00:49:15 GMT 2023","1792","tests","test_main_page","TestMainPage","","","TC 009 - Проверка функциональности ссылки 'Доставка'",""
"passed","Wed Aug 09 00:51:54 GMT 2023","Wed Aug 09 00:51:56 GMT 2023","2434","tests","test_main_page","TestMainPage","","","TC 016 - Проверка функциональности ссылки 'Прайс'",""
"passed","Wed Aug 09 00:51:43 GMT 2023","Wed Aug 09 00:51:43 GMT 2023","109","tests","test_main_page","TestMainPage","","","TC 015 - Проверка функциональности ссылки 'telephone number'",""
"passed","Wed Aug 09 00:48:52 GMT 2023","Wed Aug 09 00:48:52 GMT 2023","172","tests","test_main_page","TestMainPage","","","TC 008 - Проверка функциональности ссылки 'Каталог товаров'",""
"passed","Wed Aug 09 00:52:06 GMT 2023","Wed Aug 09 00:52:08 GMT 2023","2436","tests","test_main_page","TestMainPage","","","TC 016 - Проверка функциональности ссылки 'Прайс'",""
"passed","Wed Aug 09 00:49:25 GMT 2023","Wed Aug 09 00:49:25 GMT 2023","119","tests","test_main_page","TestMainPage","","","TC 010 - Проверка функциональности ссылки 'email'",""
"passed","Wed Aug 09 00:46:19 GMT 2023","Wed Aug 09 00:46:27 GMT 2023","7710","tests","test_main_page","TestMainPage","","","TC 003 - Функционал кнопоки 'Корзина' в шапке главной страницы",""
"skipped","Wed Aug 09 00:53:50 GMT 2023","Wed Aug 09 00:54:20 GMT 2023","30294","tests.catalog","test_catalog_page","TestCatalogPage","","","002_positive_last_link_of_catalog_smoke",""
"passed","Wed Aug 09 00:48:18 GMT 2023","Wed Aug 09 00:48:20 GMT 2023","2273","tests","test_main_page","TestMainPage","","","TC 007 - Проверка функциональности ссылки 'Строительные советы'",""
"passed","Wed Aug 09 00:53:27 GMT 2023","Wed Aug 09 00:53:27 GMT 2023","262","tests.catalog","test_catalog_page","TestCatalogPage","","","001_positive_button_stroymateriali_smoke(catalog)",""
"skipped","Wed Aug 09 00:57:55 GMT 2023","Wed Aug 09 00:58:01 GMT 2023","5670","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Авторизация с помощью аккаунта ya.ru",""
"passed","Wed Aug 09 00:50:08 GMT 2023","Wed Aug 09 00:50:14 GMT 2023","5776","tests","test_main_page","TestMainPage","","","TC 012 - Проверка функциональности ссылки 'Местоположение'",""
"skipped","Wed Aug 09 00:52:31 GMT 2023","Wed Aug 09 00:52:33 GMT 2023","2170","tests","test_main_page","TestMainPage","","","TC 017 - Проверка функциональности ссылки 'Отзывы'",""
"skipped","Wed Aug 09 00:54:42 GMT 2023","Wed Aug 09 00:55:00 GMT 2023","18675","tests.catalog","test_catalog_page","TestCatalogPage","","","004_positive_alfabet_plaster_mixtures_smoke",""
"passed","Wed Aug 09 00:50:24 GMT 2023","Wed Aug 09 00:50:29 GMT 2023","5059","tests","test_main_page","TestMainPage","","","TC 012 - Проверка функциональности ссылки 'Местоположение'",""
"passed","Wed Aug 09 00:46:37 GMT 2023","Wed Aug 09 00:46:47 GMT 2023","10036","tests","test_main_page","TestMainPage","","","TC 004 - Функционал блока 'Советы от профессионалов ремонта'",""
"passed","Wed Aug 09 00:50:39 GMT 2023","Wed Aug 09 00:50:46 GMT 2023","6355","tests","test_main_page","TestMainPage","","","TC 013 - Проверка функциональности ссылки 'Новинки'",""
"passed","Wed Aug 09 00:49:02 GMT 2023","Wed Aug 09 00:49:04 GMT 2023","1523","tests","test_main_page","TestMainPage","","","TC 009 - Проверка функциональности ссылки 'Доставка'",""
"passed","Wed Aug 09 00:46:58 GMT 2023","Wed Aug 09 00:47:08 GMT 2023","10212","tests","test_main_page","TestMainPage","","","TC 004 - Функционал блока 'Советы от профессионалов ремонта'",""
"passed","Wed Aug 09 00:51:34 GMT 2023","Wed Aug 09 00:51:34 GMT 2023","108","tests","test_main_page","TestMainPage","","","TC 015 - Проверка функциональности ссылки 'telephone number'",""
"passed","Wed Aug 09 00:54:31 GMT 2023","Wed Aug 09 00:54:31 GMT 2023","249","tests.catalog","test_catalog_page","TestCatalogPage","","","003_positive_pic_stroymateriali_smoke(catalog)",""
"passed","Wed Aug 09 00:55:41 GMT 2023","Wed Aug 09 00:55:48 GMT 2023","6798","tests.catalog","test_catalog_page","TestCatalogPage","","","007_positive_catalog_first_link_smoke",""
"passed","Wed Aug 09 00:53:17 GMT 2023","Wed Aug 09 00:53:18 GMT 2023","255","tests.catalog","test_catalog_page","TestCatalogPage","","","001_positive_button_stroymateriali_smoke(catalog)",""
"passed","Wed Aug 09 00:57:01 GMT 2023","Wed Aug 09 00:57:02 GMT 2023","1347","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Переход с окна авторизации на страницу восстановления пароля",""
"passed","Wed Aug 09 00:56:50 GMT 2023","Wed Aug 09 00:56:50 GMT 2023","274","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Проверка открытия тултипа с кнопками 'Войти' и 'Регистрация' и открытия окна авторизации",""
"passed","Wed Aug 09 00:52:43 GMT 2023","Wed Aug 09 00:52:50 GMT 2023","6984","tests","test_main_page","TestMainPage","","","TC 018 - Проверка функциональности ссылки 'Акции'",""
"passed","Wed Aug 09 00:56:38 GMT 2023","Wed Aug 09 00:56:40 GMT 2023","2407","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Переход со окна авторизации на главную страницу по клику на логотипе Стройрем",""
"passed","Wed Aug 09 00:48:42 GMT 2023","Wed Aug 09 00:48:42 GMT 2023","164","tests","test_main_page","TestMainPage","","","TC 008 - Проверка функциональности ссылки 'Каталог товаров'",""
"passed","Wed Aug 09 00:49:45 GMT 2023","Wed Aug 09 00:49:46 GMT 2023","1286","tests","test_main_page","TestMainPage","","","TC 011 - Проверка функциональности ссылки 'Подъем на этаж'",""
"passed","Wed Aug 09 00:50:55 GMT 2023","Wed Aug 09 00:51:03 GMT 2023","7734","tests","test_main_page","TestMainPage","","","TC 013 - Проверка функциональности ссылки 'Новинки'",""
"passed","Wed Aug 09 00:46:02 GMT 2023","Wed Aug 09 00:46:09 GMT 2023","7413","tests","test_main_page","TestMainPage","","","TC 003 - Функционал кнопоки 'Корзина' в шапке главной страницы",""
